Area	Consumption Segment	Country	Measure Names	"Sector, Category or Product"	Measure Values
National	Low	Belarus	Local Currency	Energy	39236.82071
National	All	Belarus	US$	Energy	60.76243391
National	All	Belarus	$PPP	Energy	164.0481399
National	All	Belarus	Local Currency	Energy	180981.517
Rural	Higher	Belarus	US$	Energy	1.68442127
Rural	Higher	Belarus	$PPP	Energy	4.547648249
Rural	Higher	Belarus	Local Currency	Energy	5017.065597
Rural	Middle	Belarus	US$	Energy	31.17284216
Rural	Middle	Belarus	$PPP	Energy	84.16132212
Rural	Middle	Belarus	Local Currency	Energy	92848.62211
Rural	Lowest	Belarus	US$	Energy	0.250341544
Rural	Lowest	Belarus	$PPP	Energy	0.675879191
Rural	Lowest	Belarus	Local Currency	Energy	745.6447931
Rural	Low	Belarus	US$	Energy	10.69340777
Rural	Low	Belarus	$PPP	Energy	28.87036516
Rural	Low	Belarus	Local Currency	Energy	31850.42199
Rural	All	Belarus	US$	Energy	43.80101275
Rural	All	Belarus	$PPP	Energy	118.2552147
Rural	All	Belarus	Local Currency	Energy	130461.7545
Urban	Higher	Belarus	US$	Energy	1.076745089
Urban	Higher	Belarus	$PPP	Energy	2.907026885
Urban	Higher	Belarus	Local Currency	Energy	3207.096014
Urban	Middle	Belarus	US$	Energy	13.40477884
Urban	Middle	Belarus	$PPP	Energy	36.19060154
Urban	Middle	Belarus	Local Currency	Energy	39926.26781
Urban	Lowest	Belarus	US$	Energy	0
Urban	Lowest	Belarus	$PPP	Energy	0
Urban	Lowest	Belarus	Local Currency	Energy	0
Urban	Low	Belarus	US$	Energy	2.479897237
Urban	Low	Belarus	$PPP	Energy	6.695296795
Urban	Low	Belarus	Local Currency	Energy	7386.398721
Urban	All	Belarus	US$	Energy	16.96142116
Urban	All	Belarus	$PPP	Energy	45.79292522
Urban	All	Belarus	Local Currency	Energy	50519.76254
National	Higher	Benin	US$	Energy	0
National	Higher	Benin	$PPP	Energy	0
National	Higher	Benin	Local Currency	Energy	0
National	Middle	Benin	US$	Energy	8.314854455
National	Middle	Benin	$PPP	Energy	14.08788402
National	Middle	Benin	Local Currency	Energy	4118.15617
National	Lowest	Benin	US$	Energy	277.5463705
National	Lowest	Benin	$PPP	Energy	470.2476874
National	Lowest	Benin	Local Currency	Energy	137462.3337
National	Low	Benin	US$	Energy	90.11961732
National	Low	Benin	$PPP	Energy	152.6899507
National	Low	Benin	Local Currency	Energy	44634.17371
National	All	Benin	US$	Energy	375.9808423
National	All	Benin	$PPP	Energy	637.0255222
National	All	Benin	Local Currency	Energy	186214.6636
Rural	Higher	Benin	US$	Energy	0
Rural	Higher	Benin	$PPP	Energy	0
Rural	Higher	Benin	Local Currency	Energy	0
Rural	Middle	Benin	US$	Energy	0
Rural	Middle	Benin	$PPP	Energy	0
Rural	Middle	Benin	Local Currency	Energy	0
Rural	Lowest	Benin	US$	Energy	136.0038455
Rural	Lowest	Benin	$PPP	Energy	230.4317426
Rural	Lowest	Benin	Local Currency	Energy	67359.57658
Rural	Low	Benin	US$	Energy	14.00995812
Rural	Low	Benin	$PPP	Energy	23.73711605
Rural	Low	Benin	Local Currency	Energy	6938.810026
Rural	All	Benin	US$	Energy	150.0138036
Rural	All	Benin	$PPP	Energy	254.1688587
Rural	All	Benin	Local Currency	Energy	74298.3866
Urban	Higher	Benin	US$	Energy	0
Urban	Higher	Benin	$PPP	Energy	0
